Date,Open,High,Low,Close,Volume,Adj Close,,,,
1/12/88,2668,2696.4,2608,2687.4,0,2687.4,,,,
1/11/88,2615.4,2666,2538,2659.3,0,2659.3,,,,
3/10/88,2429.1,2627.4,2415.8,2627.4,0,2627.4,,,,
1/9/88,2433.3,2525.1,2423.2,2441,0,2441,,,,
1/8/88,2703.4,2703.4,2439.6,2443.8,0,2443.8,,,,
1/7/88,2684.6,2772.5,2647.4,2678.9,0,2678.9,,,,
1/6/88,2516.2,2719,2516.2,2671.5,0,2671.5,,,,
2/5/88,2589.9,2641.1,2488.9,2496.7,0,2496.7,,,,
6/4/88,2556.6,2684.1,2552,2602.9,0,2602.9,,,,
1/3/88,2446.4,2618.4,2437.7,2544,0,2544,,,,
1/2/88,2374,2418.1,2223,2418.1,0,2418.1,,,,
4/1/88,2238.1,2512.2,2238.1,2409.7,0,2409.7,,,,
1/12/87,2086.7,2379.1,1894.9,2302.8,0,2302.8,,,,
2/11/87,2224.8,2317.5,1960.9,2138.4,0,2138.4,,,,
1/10/87,3949.7,3949.7,2202.8,2204.5,0,2204.5,,,,
1/9/87,3644.3,3943.6,3571.4,3943.6,0,3943.6,,,,
3/8/87,3514.3,3611.7,3391.3,3611.7,0,3611.7,,,,
1/7/87,3164,3479.2,3164,3479.2,0,3479.2,,,,
2/6/87,2934.1,3179,2934.1,3178.2,0,3178.2,,,,
1/5/87,2685.4,2950.8,2685.4,2950.8,0,2950.8,,,,
1/4/87,2695.9,2785.5,2589.5,2659.9,0,2659.9,,,,
2/3/87,2894.3,2939.1,2629.3,2713.8,0,2713.8,,,,
2/2/87,2585.2,2879,2585.2,2877.9,0,2877.9,,,,
2/1/87,2540.1,2614.9,2449.9,2553.3,0,2553.3,,,,
31/12/86,2568.3,2568.3,2568.3,2568.3,0,2568.3,,,,
